Longitude	Latitude	Potential Vorticity Q [10~^-~^1~^2 m~^-~^1 s~^-~^1] @ Depth [m]=500
-133.500000	-72.500000	29.43569
-132.500000	-72.500000	31.09575
-131.500000	-72.500000	36.03163
-130.500000	-72.500000	35.72574
-129.500000	-72.500000	36.48584
-128.500000	-72.500000	34.79219
-127.500000	-72.500000	28.29575
-126.500000	-72.500000	23.73715
-125.500000	-72.500000	24.09118
-124.500000	-72.500000	25.17338
-123.500000	-72.500000	26.56654
-122.500000	-72.500000	25.51614
-121.500000	-72.500000	24.63544
-120.500000	-72.500000	21.44920
-119.500000	-72.500000	24.29508
-118.500000	-72.500000	30.05953
-117.500000	-72.500000	39.74626
-116.500000	-72.500000	40.66514
-115.500000	-72.500000	39.86518
-114.500000	-72.500000	35.40451
-113.500000	-72.500000	31.57107
-112.500000	-72.500000	26.82873
-111.500000	-72.500000	21.29895
-110.500000	-72.500000	17.17168
-109.500000	-72.500000	21.45502
-108.500000	-72.500000	63.44453
-107.500000	-72.500000	20.01296
-106.500000	-72.500000	7.88088
-105.500000	-72.500000	5.60638
-57.500000	-72.500000	3.35918
-56.500000	-72.500000	0.15856
-55.500000	-72.500000	9.29562
-54.500000	-72.500000	13.99914
-53.500000	-72.500000	6.75986
-52.500000	-72.500000	1.47318
-51.500000	-72.500000	1.02531
-50.500000	-72.500000	0.30392
-49.500000	-72.500000	-8.26831
-46.500000	-72.500000	3.48411
-45.500000	-72.500000	2.23665
-44.500000	-72.500000	0.86074
-43.500000	-72.500000	0.13021
-42.500000	-72.500000	0.08965
-41.500000	-72.500000	1.20056
-40.500000	-72.500000	1.39548
-39.500000	-72.500000	0.69650
-38.500000	-72.500000	0.03310
-37.500000	-72.500000	0.95991
-36.500000	-72.500000	1.63015
-35.500000	-72.500000	1.19624
-34.500000	-72.500000	2.46948
-33.500000	-72.500000	0.63048
-32.500000	-72.500000	0.75281
-31.500000	-72.500000	0.23225
-30.500000	-72.500000	0.60989
-29.500000	-72.500000	0.37265
-28.500000	-72.500000	1.92228
-27.500000	-72.500000	3.04887
-26.500000	-72.500000	3.31510
-25.500000	-72.500000	3.02569
-24.500000	-72.500000	1.48494
-23.500000	-72.500000	3.53730
-22.500000	-72.500000	2.27365
-21.500000	-72.500000	1.49469
-20.500000	-72.500000	1.30711
-19.500000	-72.500000	0.12431
171.500000	-71.500000	1.36347
172.500000	-71.500000	2.91388
173.500000	-71.500000	0.33868
-185.500000	-71.500000	0.57373
-184.500000	-71.500000	0.23709
-183.500000	-71.500000	0.47235
-182.500000	-71.500000	0.13659
-181.500000	-71.500000	0.73104
-180.500000	-71.500000	12.13030
-179.500000	-71.500000	20.57313
-178.500000	-71.500000	18.75606
-177.500000	-71.500000	14.79541
-176.500000	-71.500000	16.95656
-175.500000	-71.500000	16.47423
-174.500000	-71.500000	16.23402
-173.500000	-71.500000	12.79102
-172.500000	-71.500000	11.60937
-171.500000	-71.500000	7.58121
-170.500000	-71.500000	6.32077
-169.500000	-71.500000	4.86287
-168.500000	-71.500000	5.76778
-167.500000	-71.500000	7.60959
-166.500000	-71.500000	7.88228
-165.500000	-71.500000	9.45604
-164.500000	-71.500000	10.84255
-163.500000	-71.500000	10.14878
-162.500000	-71.500000	11.36692
-161.500000	-71.500000	11.83113
-160.500000	-71.500000	10.57451
-159.500000	-71.500000	11.23043
-158.500000	-71.500000	10.99024
-157.500000	-71.500000	10.98243
-156.500000	-71.500000	12.23451
-155.500000	-71.500000	12.53874
-154.500000	-71.500000	11.53492
-153.500000	-71.500000	10.07215
