,500m<x<1000m,500m<x<1000m & east of 140W
cal.age,D14C.Shallow.Pacific.North,D14C.Shallow.Pacific.North.East
3520,-89.87643699,-72.18850007
3530,-89.60574866,-71.90806546
3540,-89.42105481,-71.73010066
3550,-89.29031029,-71.61166374
3560,-89.19504778,-71.52446055
3570,-89.05989622,-71.38121768
3580,-88.81602157,-71.11077162
3590,-88.51391571,-70.77637718
3600,-88.19817067,-70.43237541
3610,-87.93281379,-70.15025097
3620,-87.72846126,-69.9360623
3630,-87.54871531,-69.74286657
3640,-87.35860309,-69.53077683
3650,-87.05258737,-69.19364685
3660,-86.69147492,-68.81109539
3670,-86.46517885,-68.5889913
3680,-86.39963157,-68.54040928
3690,-86.32470468,-68.46883398
3700,-86.11079468,-68.23349995
3710,-85.85423671,-67.94354594
3720,-85.62439791,-67.67225188
3730,-85.30726588,-67.2978932
3740,-84.90502758,-66.833754
3750,-84.55818118,-66.43756813
3760,-84.31479011,-66.15563272
3770,-84.09612414,-65.89892748
3780,-83.78958276,-65.55395072
3790,-83.45192757,-65.1973643
3800,-83.27830323,-65.04361126
3810,-83.29911869,-65.11034518
3820,-83.3775177,-65.23110918
3830,-83.37865566,-65.25232838
3840,-83.25207204,-65.12347502
3850,-83.03068895,-64.88899
3860,-82.79393753,-64.64127567
3870,-82.59698451,-64.43973404
3880,-82.42067639,-64.2589879
3890,-82.24011062,-64.06956674
3900,-82.02870848,-63.84301218
3910,-81.77552962,-63.56777756
3920,-81.53470029,-63.30385648
3930,-81.27352024,-63.01868116
3940,-80.93371148,-62.65657066
3950,-80.66669387,-62.38650799
3960,-80.5418809,-62.27323825
3970,-80.43570929,-62.16940258
3980,-80.28023905,-61.99537635
3990,-80.02285907,-61.69495998
4000,-79.67382149,-61.28519101
4010,-79.29151249,-60.83639244
4020,-78.88204811,-60.36303261
4030,-78.47277588,-59.90405442
4040,-78.13822262,-59.54543766
4050,-77.92950175,-59.34019094
4060,-77.82434235,-59.25568682
4070,-77.76354187,-59.21668247
4080,-77.71273255,-59.17635401
4090,-77.59443687,-59.04656772
4100,-77.31934612,-58.73804676
4110,-76.95368502,-58.33860308
4120,-76.63269014,-58.00362785
4130,-76.43845299,-57.81478044
4140,-76.36871172,-57.7532656
4150,-76.26934094,-57.64083485
4160,-75.9802348,-57.3073825
4170,-75.60485451,-56.87676177
4180,-75.26985343,-56.49263082
4190,-74.90633659,-56.08492439
4200,-74.54560928,-55.69499247
4210,-74.32080367,-55.46568007
4220,-74.21277347,-55.36326646
4230,-74.10940181,-55.25540473
4240,-73.94181829,-55.06419223
4250,-73.68137072,-54.76361908
4260,-73.36037904,-54.39754489
4270,-73.05095214,-54.04806954
4280,-72.82375283,-53.78789091
4290,-72.64512966,-53.57250348
4300,-72.39348673,-53.26871389
4310,-72.07501737,-52.89235088
4320,-71.75306416,-52.52158007
4330,-71.48175006,-52.21807233
4340,-71.3208131,-52.0432195
4350,-71.21497718,-51.93238712
4360,-71.05798983,-51.77245125
4370,-70.90146448,-51.6269309
4380,-70.82985113,-51.589306
4390,-70.82434375,-51.63178639
4400,-70.89116618,-51.7484606
4410,-70.98024477,-51.87251614
4420,-70.91911526,-51.81239867
4430,-70.69881026,-51.56379522
4440,-70.46709586,-51.29150276
4450,-70.16318035,-50.93221555
4460,-69.73583335,-50.44267
4470,-69.33395298,-49.99787212
4480,-69.02859506,-49.67864767
4490,-68.83426153,-49.49761388
4500,-68.75335765,-49.44669331
4510,-68.74108502,-49.46256494
4520,-68.69953688,-49.42895101
4530,-68.49226341,-49.20054889
4540,-68.15503168,-48.82978358
4550,-67.8265451,-48.47523536
4560,-67.57144238,-48.20299403
4570,-67.37287302,-47.98670042
4580,-67.12468141,-47.70918643
4590,-66.78632043,-47.33245203
4600,-66.46462423,-46.97599753
4610,-66.22309916,-46.70454291
4620,-65.97912571,-46.42334569
4630,-65.67551086,-46.06951378
4640,-65.38997527,-45.72684905
4650,-65.10369895,-45.37383145
4660,-64.71594765,-44.90853965
4670,-64.31194942,-44.43430469
4680,-64.04030344,-44.11133065
4690,-63.89195025,-43.91873936
4700,-63.73785497,-43.7089035
4710,-63.52554049,-43.42500701
4720,-63.30389606,-43.1224691
4730,-63.06397685,-42.79656643
4740,-62.75206042,-42.40265052
4750,-62.44192096,-42.03925611
4760,-62.2990574,-41.89477275
4770,-62.3778871,-42.02220166
4780,-62.60513725,-42.33056414
4790,-62.88513169,-42.70837908
4800,-63.16764541,-43.09722811
4810,-63.45287204,-43.49236884
4820,-63.74741243,-43.89277927
4830,-63.99099654,-44.22443204
4840,-64.11777553,-44.41154993
4850,-64.13958745,-44.46565874
4860,-64.06282367,-44.39260897
4870,-63.86592726,-44.1713102
4880,-63.55287006,-43.81339623
4890,-63.17138899,-43.37920454
4900,-62.79266155,-42.95128991
4910,-62.44471006,-42.56180481
4920,-62.10820042,-42.19260185
4930,-61.7869661,-41.85141456
4940,-61.52969271,-41.5908533
4950,-61.37195187,-41.44205484
4960,-61.23950635,-41.31424351
4970,-61.05861836,-41.12308431
4980,-60.79127169,-40.83065557
4990,-60.43813231,-40.44784152
5000,-60.065311,-40.05651981
5010,-59.75842558,-39.75305068
5020,-59.57657406,-39.59467327
5030,-59.45711832,-39.49946442
5040,-59.33074066,-39.38102544
5050,-59.12487513,-39.15619042
5060,-58.77412278,-38.75755221
5070,-58.34518381,-38.26453323
5080,-57.90924945,-37.75884316
5090,-57.4480245,-37.22489915
5100,-56.97710994,-36.68509654
5110,-56.59164692,-36.24241399
5120,-56.31036565,-35.90718742
5130,-56.04489244,-35.57355351
5140,-55.71920014,-35.15894666
5150,-55.29906006,-34.63451739
5160,-54.85434275,-34.08717738
5170,-54.49237458,-33.63997772
5180,-54.20021201,-33.28159994
5190,-53.97923127,-33.01493223
5200,-53.88024464,-32.89335429
5210,-53.8694807,-32.87557404
5220,-53.85782175,-32.86428335
5230,-53.86763369,-32.88885907
5240,-53.91501948,-32.9701764
5250,-54.00871203,-33.11959939
5260,-54.18872914,-33.37755208
5270,-54.42298849,-33.70213417
5280,-54.67663217,-34.04913771
5290,-54.9024091,-34.36171658
5300,-55.11048961,-34.64171144
5310,-55.30569763,-34.87965369
5320,-55.38437565,-34.9539086
5330,-55.20755559,-34.71979814
5340,-54.82914143,-34.25204947
5350,-54.46241499,-33.79288051
5360,-54.12881047,-33.36816557
5370,-53.75898945,-32.90863101
5380,-53.4364528,-32.5125055
5390,-53.22626491,-32.25252321
5400,-53.07318175,-32.07143533
5410,-52.96873291,-31.96564343
5420,-52.99993147,-32.02800029
5430,-53.19957149,-32.28223608
5440,-53.45689251,-32.59489723
5450,-53.64320346,-32.82006297
5460,-53.80005258,-32.99904669
5470,-53.94092673,-33.13868052
5480,-53.95837755,-33.12197777
5490,-53.80424826,-32.90956096
5500,-53.55952114,-32.60661948
5510,-53.39630776,-32.41128434
5520,-53.33590927,-32.34904785
5530,-53.32830627,-32.36783371
5540,-53.43404672,-32.53511258
5550,-53.64821827,-32.84186564
5560,-53.93373169,-33.23951008
5570,-54.31227766,-33.73714486
5580,-54.72199547,-34.24675334
5590,-54.9861772,-34.56326421
5600,-55.01805942,-34.59702938
5610,-54.81081922,-34.35771849
5620,-54.49467668,-34.00670165
5630,-54.26015168,-33.75680968
5640,-54.14762408,-33.64228299
5650,-54.10901152,-33.59899727
5660,-53.98175313,-33.44725032
5670,-53.72395442,-33.1522323
5680,-53.46804605,-32.86953086
5690,-53.27250376,-32.66527591
5700,-53.15688513,-32.55753153
5710,-53.10747202,-32.52513496
5720,-53.07842291,-32.51217003
5730,-53.04355734,-32.48369288
5740,-52.9942508,-32.42338023
5750,-52.89314458,-32.28611752
5760,-52.67991759,-32.0088425
5770,-52.37487578,-31.62145408
5780,-52.05321082,-31.21262616
5790,-51.76002876,-30.83462525
5800,-51.47450259,-30.46963093
5810,-51.2088233,-30.14006528
5820,-50.99801086,-29.89160047
5830,-50.9239533,-29.81455719
5840,-51.00548177,-29.9230781
5850,-51.13396548,-30.0940398
5860,-51.2681788,-30.28463435
5870,-51.43263525,-30.52287979
5880,-51.67420245,-30.85418336
5890,-51.9715622,-31.24408309
5900,-52.23415637,-31.58514335
5910,-52.39261188,-31.79946756
5920,-52.45464657,-31.89590238
5930,-52.45591066,-31.91286769
5940,-52.36781598,-31.82162724
5950,-52.1555522,-31.59567238
5960,-51.89122204,-31.32772406
5970,-51.71777746,-31.17534513
5980,-51.72532994,-31.22139387
5990,-51.80457525,-31.32627812
6000,-51.74849763,-31.25626718
6010,-51.5143844,-30.97037597
6020,-51.18563758,-30.56911826
6030,-50.81522779,-30.11845414
6040,-50.42600374,-29.64882938
6050,-50.10370003,-29.25510401
6060,-49.85288801,-28.94088042
6070,-49.57657293,-28.60545499
6080,-49.32161322,-28.30851449
6090,-49.21000883,-28.18065488
6100,-49.26062169,-28.22686033
6110,-49.34744521,-28.29566918
6120,-49.30623499,-28.21024212
6130,-49.10170245,-27.95121389
6140,-48.88193556,-27.69955478
6150,-48.83998476,-27.66905251
6160,-49.01414612,-27.88833985
6170,-49.28935176,-28.21572226
6180,-49.5415265,-28.50649418
6190,-49.72480022,-28.70762249
6200,-49.83359505,-28.81321865
6210,-49.85359702,-28.8126435
6220,-49.77252057,-28.70536192
6230,-49.63919978,-28.56219834
6240,-49.58427344,-28.53698155
6250,-49.72592956,-28.75463081
6260,-50.05448989,-29.18815173
6270,-50.4451522,-29.68387415
6280,-50.7763179,-30.09821022
6290,-50.99896623,-30.37259526
6300,-51.10068082,-30.49243986
6310,-51.06469284,-30.44427007
6320,-50.89223587,-30.23977836
6330,-50.66649406,-29.97870117
6340,-50.48580423,-29.77065659
6350,-50.33564825,-29.6013515
6360,-50.15182709,-29.40813217
6370,-50.00433696,-29.27314902
6380,-50.03426304,-29.34063953
6390,-50.1846289,-29.52869883
6400,-50.24355237,-29.59893411
6410,-50.10835038,-29.45038726
6420,-49.88779327,-29.21499741
6430,-49.77047588,-29.09853895
6440,-49.73347168,-29.06697263
6450,-49.63070415,-28.95988315
6460,-49.46540545,-28.78839634
6470,-49.33125756,-28.65616971
6480,-49.28336784,-28.61485764
6490,-49.25612188,-28.58437281
6500,-49.11436276,-28.41916617
6510,-48.87106423,-28.14351074
6520,-48.65710081,-27.90648546
6530,-48.51102511,-27.74881525
6540,-48.39169166,-27.62120426
6550,-48.30427412,-27.5247382
6560,-48.21686363,-27.42236156
6570,-48.04546288,-27.22797187
6580,-47.83013893,-26.99467869
6590,-47.6919355,-26.85806248
6600,-47.6423173,-26.82717033
6610,-47.61025143,-26.82091657
6620,-47.60990823,-26.85216216
6630,-47.63210825,-26.90786329
6640,-47.61891264,-26.92347789
6650,-47.59992673,-26.92856051
6660,-47.59837734,-26.94265193
6670,-47.5380908,-26.87953443
6680,-47.35191295,-26.67288302
6690,-47.09606554,-26.39551123
6700,-46.87363883,-26.16657261
6710,-46.7316221,-26.03627817
6720,-46.66703872,-25.99382596
6730,-46.64660525,-25.99366929
6740,-46.60226315,-25.95688001
6750,-46.44499411,-25.79151544
6760,-46.2089366,-25.54514436
6770,-46.04687116,-25.38507647
6780,-45.97795359,-25.32042427
6790,-45.89656274,-25.22879821
6800,-45.69635403,-24.99917589
6810,-45.37489492,-24.64274377
6820,-45.11998239,-24.37246497
6830,-44.98801566,-24.24377834
6840,-44.90438352,-24.16772419
6850,-44.81981884,-24.08898456
6860,-44.67442593,-23.94601007
6870,-44.53430398,-23.81384379
6880,-44.47188537,-23.76733448
6890,-44.41417197,-23.72189636
6900,-44.28495631,-23.59767468
6910,-44.12318251,-23.4445978
6920,-43.9942218,-23.33631405
6930,-43.93290787,-23.3058214
6940,-43.91871691,-23.32359284
6950,-43.85822252,-23.28562227
