Longitude	Latitude	Potential Vorticity Q [10~^-~^1~^2 m~^-~^1 s~^-~^1] @ Depth [m]=first
-53.500000	-73.500000	30.37689
-52.500000	-73.500000	26.61994
-51.500000	-73.500000	37.20350
-50.500000	-73.500000	33.01861
-49.500000	-73.500000	12.79351
-48.500000	-73.500000	20.31207
-47.500000	-73.500000	12.92155
-46.500000	-73.500000	73.93507
-45.500000	-73.500000	175.31552
-44.500000	-73.500000	321.15462
-43.500000	-73.500000	441.90859
-42.500000	-73.500000	591.44413
-41.500000	-73.500000	700.93418
-40.500000	-73.500000	800.95479
-39.500000	-73.500000	897.73687
-38.500000	-73.500000	971.74956
-37.500000	-73.500000	1041.17579
-36.500000	-73.500000	1153.52296
-35.500000	-73.500000	996.02644
-34.500000	-73.500000	1229.97084
-33.500000	-73.500000	1265.12044
-32.500000	-73.500000	1297.05893
-31.500000	-73.500000	1350.41503
-30.500000	-73.500000	1328.33527
-29.500000	-73.500000	1389.17346
-28.500000	-73.500000	1436.01621
-27.500000	-73.500000	1473.97070
-26.500000	-73.500000	1513.65930
-25.500000	-73.500000	1468.29124
-24.500000	-73.500000	1524.70643
-23.500000	-73.500000	1548.74504
-22.500000	-73.500000	1605.30427
-21.500000	-73.500000	1594.67212
171.500000	-72.500000	130.41172
172.500000	-72.500000	87.42553
173.500000	-72.500000	84.52440
-185.500000	-72.500000	87.79983
-184.500000	-72.500000	92.68404
-183.500000	-72.500000	98.98396
-182.500000	-72.500000	90.02128
-181.500000	-72.500000	104.74281
-180.500000	-72.500000	101.86643
-179.500000	-72.500000	106.91167
-178.500000	-72.500000	119.94739
-177.500000	-72.500000	127.22897
-176.500000	-72.500000	105.94913
-175.500000	-72.500000	106.97260
-174.500000	-72.500000	102.48690
-173.500000	-72.500000	94.50366
-172.500000	-72.500000	88.40800
-171.500000	-72.500000	87.68088
-170.500000	-72.500000	85.39804
-169.500000	-72.500000	79.67230
-168.500000	-72.500000	79.53400
-167.500000	-72.500000	76.78550
-166.500000	-72.500000	83.96023
-165.500000	-72.500000	95.76686
-164.500000	-72.500000	109.71058
-163.500000	-72.500000	131.89971
-162.500000	-72.500000	109.00980
-161.500000	-72.500000	116.26817
-160.500000	-72.500000	107.95367
-159.500000	-72.500000	90.53199
-158.500000	-72.500000	109.15094
-157.500000	-72.500000	112.88831
-156.500000	-72.500000	114.18762
-155.500000	-72.500000	111.23392
-154.500000	-72.500000	111.15244
-153.500000	-72.500000	101.95268
-152.500000	-72.500000	97.66590
-151.500000	-72.500000	83.15109
-150.500000	-72.500000	57.79752
-149.500000	-72.500000	37.34363
-148.500000	-72.500000	16.62294
-147.500000	-72.500000	8.80271
-146.500000	-72.500000	10.35448
-145.500000	-72.500000	10.69236
-144.500000	-72.500000	10.49073
-143.500000	-72.500000	10.51038
-142.500000	-72.500000	16.48484
-141.500000	-72.500000	20.75305
-140.500000	-72.500000	32.23861
-139.500000	-72.500000	47.82162
-138.500000	-72.500000	78.64251
-137.500000	-72.500000	116.40938
-136.500000	-72.500000	184.82403
-135.500000	-72.500000	201.93182
-134.500000	-72.500000	196.77082
-133.500000	-72.500000	190.56442
-132.500000	-72.500000	160.93927
-131.500000	-72.500000	171.99290
-130.500000	-72.500000	165.71553
-129.500000	-72.500000	182.78599
-128.500000	-72.500000	217.86684
-127.500000	-72.500000	251.42370
-126.500000	-72.500000	269.96674
-125.500000	-72.500000	323.40951
-124.500000	-72.500000	392.73267
-123.500000	-72.500000	351.64643
-122.500000	-72.500000	350.90712
-121.500000	-72.500000	329.54880
-120.500000	-72.500000	270.45705
-119.500000	-72.500000	188.18755
-118.500000	-72.500000	176.01056
-117.500000	-72.500000	127.35008
-116.500000	-72.500000	90.33820
-115.500000	-72.500000	67.43355
-114.500000	-72.500000	49.95059
-113.500000	-72.500000	23.17512
-112.500000	-72.500000	5.17539
-111.500000	-72.500000	54.41206
-110.500000	-72.500000	14.76652
