volume_factor,mixing_rate,total_carbon_added,tau
10.166666666666668,5.5600000000000005,2923.680018849775,7.73932423003305
10.166666666666668,6.67,3297.7448176952253,6.537834734181766
10.166666666666668,7.78,3654.7317320447614,5.659263722687607
10.166666666666668,8.89,3999.079635528765,4.988849343585873
10.166666666666668,10.0,4329.132107369729,4.460450224179354
11.777777777777779,0.01,788.2019281586955,110.51689405679404
11.777777777777779,1.12,1263.2192963602201,33.84579880489318
11.777777777777779,2.23,1712.7705905569999,19.982759442003353
11.777777777777779,3.34,2145.7987347033186,14.17625080833222
11.777777777777779,4.45,2560.2152778912096,10.984437746009956
11.777777777777779,5.5600000000000005,2960.3323906054006,8.965774517852497
11.777777777777779,6.67,3344.283287659162,7.573885047248823
11.777777777777779,7.78,3711.812083195882,6.556086935572528
11.777777777777779,8.89,4070.6490043437752,5.779432026449209
11.777777777777779,10.0,4422.642791693371,5.167297527464608
13.38888888888889,0.01,790.7014688923372,125.634771073997
13.38888888888889,1.12,1264.4445792606482,38.47564864141158
13.38888888888889,2.23,1719.6429561903747,22.7162501203906
13.38888888888889,3.34,2157.453102231015,16.11545492833993
13.38888888888889,4.45,2575.060551202653,12.487025928247167
13.38888888888889,5.5600000000000005,2983.4435086420995,10.192224805671941
13.38888888888889,6.67,3379.270096627309,8.609935360315879
13.38888888888889,7.78,3760.0316684086542,7.452910148457449
13.38888888888889,8.89,4129.941768922248,6.570014709312543
13.38888888888889,10.0,4489.1349769614835,5.874144830749859
15.0,0.01,789.0171524865705,140.75264809119994
15.0,1.12,1269.8745010458897,43.105498477929984
15.0,2.23,1722.3406533074703,25.44974079877785
15.0,3.34,2165.1813553818893,18.054659048347638
15.0,4.45,2592.1285909971207,13.989614110484377
15.0,5.5600000000000005,3006.1423194194763,11.418675093491386
15.0,6.67,3409.5088415009063,9.645985673382933
15.0,7.78,3802.4947052722164,8.34973336134237
15.0,8.89,4181.316325340271,7.360597392175878
15.0,10.0,4550.404990516599,6.580992134035112
